Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HT_Code,AT_Code,Outcome,GoalDifference,HomeShotEfficiency,AwayShotEfficiency,HomePossessionProxy,AwayPossessionProxy,total_goals
SP1,2011-02-13,Malaga,Getafe,2,2,D,0,2,A,20,8,6,5,13,15,9,3,2,4,0,0,22,12,0,0,0.1,0.25,16,-4,4
SP1,2011-02-13,Sociedad,Osasuna,1,0,H,0,0,D,19,12,9,1,10,15,5,3,1,3,0,1,31,26,1,1,0.05,0.0,14,0,1
SP1,2011-02-14,Mallorca,Ath Bilbao,1,0,H,1,0,H,11,12,5,3,15,11,3,9,2,2,0,0,23,2,1,1,0.09,0.0,-1,10,1
SP1,2011-02-19,Real Madrid,Levante,2,0,H,2,0,H,25,3,11,1,8,11,13,2,2,2,0,0,27,21,1,2,0.08,0.0,30,-6,2
SP1,2011-02-19,Valencia,Sp Gijon,0,0,D,0,0,D,12,7,2,0,13,5,12,4,1,0,0,0,34,32,0,0,0.0,0.0,11,6,0
SP1,2011-02-19,Zaragoza,Ath Madrid,0,1,A,0,0,D,14,16,2,7,15,15,4,5,3,3,0,0,39,3,-1,-1,0.0,0.06,3,6,1
SP1,2011-02-20,Almeria,La Coruna,1,1,D,0,0,D,12,8,4,4,15,17,3,7,1,4,0,0,1,18,0,0,0.08,0.12,0,-2,2
SP1,2011-02-20,Barcelona,Ath Bilbao,2,1,H,1,0,H,20,5,5,4,9,18,11,1,3,3,0,0,4,2,1,1,0.1,0.2,22,-12,3
SP1,2011-02-20,Getafe,Santander,0,1,A,0,0,D,6,8,1,4,13,12,8,4,1,2,1,0,12,29,-1,-1,0.0,0.12,1,0,1
SP1,2011-02-20,Osasuna,Espanol,4,0,H,1,0,H,15,11,8,0,19,12,8,8,2,2,0,0,26,11,1,4,0.27,0.0,4,7,4
SP1,2011-02-20,Sevilla,Hercules,1,0,H,1,0,H,17,7,6,3,14,16,6,8,2,3,0,0,30,16,1,1,0.06,0.0,9,-1,1
SP1,2011-02-20,Villarreal,Malaga,1,1,D,1,0,H,15,6,7,2,14,23,3,1,1,1,0,0,37,22,0,0,0.07,0.17,4,-16,2
SP1,2011-02-21,Sociedad,Mallorca,1,0,H,0,0,D,12,9,4,2,13,17,11,5,1,2,0,0,31,23,1,1,0.08,0.0,10,-3,1
SP1,2011-02-26,Ath Madrid,Sevilla,2,2,D,0,1,A,19,15,11,5,15,10,9,3,2,2,0,0,3,30,0,0,0.11,0.13,13,8,4
SP1,2011-02-26,Espanol,Sociedad,4,1,H,1,1,D,11,14,4,5,13,16,4,6,1,1,0,0,11,31,1,3,0.36,0.07,2,4,5
SP1,2011-02-26,La Coruna,Real Madrid,0,0,D,0,0,D,4,21,1,9,21,13,4,11,4,3,0,0,18,27,0,0,0.0,0.0,-13,19,0
SP1,2011-02-26,Mallorca,Barcelona,0,3,A,0,1,A,8,7,3,4,12,9,5,2,1,0,0,0,23,4,-1,-3,0.0,0.43,1,0,3
SP1,2011-02-26,Sp Gijon,Zaragoza,0,0,D,0,0,D,13,12,5,0,15,11,4,3,3,4,0,0,32,39,0,0,0.0,0.0,2,4,0
SP1,2011-02-27,Ath Bilbao,Valencia,1,2,A,1,0,H,17,11,6,5,19,14,7,5,3,4,0,0,2,34,-1,-1,0.06,0.18,5,2,3
SP1,2011-02-27,Hercules,Getafe,0,0,D,0,0,D,11,17,5,7,12,15,7,9,1,2,1,0,16,12,0,0,0.0,0.0,6,11,0
SP1,2011-02-27,Levante,Osasuna,2,1,H,1,1,D,14,8,7,4,13,16,5,1,3,2,0,0,21,26,1,1,0.14,0.12,6,-7,3
SP1,2011-02-27,Santander,Villarreal,2,2,D,1,0,H,17,17,9,2,11,7,6,8,2,3,0,0,29,37,0,0,0.12,0.12,12,18,4
SP1,2011-02-28,Malaga,Almeria,3,1,H,0,1,A,18,15,8,5,12,20,6,5,4,1,0,2,22,1,1,2,0.17,0.07,12,0,4
SP1,2011-01-03,Espanol,Mallorca,1,2,A,1,0,H,10,16,3,6,20,18,0,9,5,3,0,0,11,23,-1,-1,0.1,0.12,-10,7,3
SP1,2011-01-03,Sevilla,Sp Gijon,3,0,H,2,0,H,16,3,8,0,17,15,2,1,2,1,0,1,30,32,1,3,0.19,0.0,1,-11,3
SP1,2011-02-03,Getafe,Ath Madrid,1,1,D,1,0,H,11,13,3,3,15,13,7,8,4,2,0,0,12,3,0,0,0.09,0.08,3,8,2
SP1,2011-02-03,Osasuna,La Coruna,0,0,D,0,0,D,19,5,6,3,14,16,8,4,2,2,0,0,26,18,0,0,0.0,0.0,13,-7,0
SP1,2011-02-03,Sociedad,Levante,1,1,D,0,0,D,14,11,1,1,15,20,4,6,1,4,0,0,31,21,0,0,0.07,0.09,3,-3,2
SP1,2011-02-03,Valencia,Barcelona,0,1,A,0,0,D,7,20,1,8,18,7,8,4,4,1,0,0,34,4,-1,-1,0.0,0.05,-3,17,1
SP1,2011-02-03,Villarreal,Hercules,1,0,H,1,0,H,18,6,7,3,8,18,5,4,2,2,0,0,37,16,1,1,0.06,0.0,15,-8,1
SP1,2011-02-03,Zaragoza,Ath Bilbao,2,1,H,0,1,A,18,9,5,3,19,18,8,3,4,2,0,0,39,2,1,1,0.11,0.11,7,-6,3
SP1,2011-03-03,Almeria,Santander,1,1,D,0,1,A,20,6,6,3,17,12,15,5,2,4,0,1,1,29,0,0,0.05,0.17,18,-1,2
